price,total_volume,buy_volume,sell_volume,buy_value,sell_value,node_type
91866.30000000,21.55800000,1.16500000,20.39300000,107024.35600000,1873431.49520000,HIGH_VOLUME_NODE
91866.60000000,27.06100000,13.36600000,13.69500000,1227890.06440000,1258114.08150000,HIGH_VOLUME_NODE
91869.90000000,13.40500000,3.71400000,9.69100000,341205.18000000,890312.17000000,HIGH_VOLUME_NODE
91870.10000000,29.83700000,23.19400000,6.64300000,2130835.74850000,610293.62380000,HIGH_VOLUME_NODE
91870.60000000,17.86500000,11.54500000,6.32000000,1060647.12170000,580622.63320000,HIGH_VOLUME_NODE
91872.40000000,13.40800000,1.72700000,11.68100000,158663.80750000,1073162.67250000,HIGH_VOLUME_NODE
91872.60000000,15.39300000,14.91000000,0.48300000,1369820.51350000,44374.47690000,HIGH_VOLUME_NODE
91873.60000000,12.21400000,6.89400000,5.32000000,633377.05050000,488767.67800000,HIGH_VOLUME_NODE
91874.60000000,13.15300000,3.79300000,9.36000000,348480.67960000,859946.81210000,HIGH_VOLUME_NODE
91875.10000000,24.56200000,15.20300000,9.35900000,1396777.80440000,859859.34030000,HIGH_VOLUME_NODE
91877.60000000,24.00300000,4.33600000,19.66700000,398381.35540000,1806956.89590000,HIGH_VOLUME_NODE
91878.10000000,13.85500000,2.88200000,10.97300000,264792.84880000,1008179.37640000,HIGH_VOLUME_NODE
91878.90000000,17.03300000,2.85900000,14.17400000,262682.06100000,1302292.94600000,HIGH_VOLUME_NODE
91879.10000000,19.61100000,5.62800000,13.98300000,517095.85510000,1284745.91130000,HIGH_VOLUME_NODE
91879.60000000,14.54000000,9.68800000,4.85200000,890129.63310000,445799.94040000,HIGH_VOLUME_NODE
91879.70000000,22.56700000,0.38500000,22.18200000,35373.72300000,2038077.72360000,HIGH_VOLUME_NODE
91879.80000000,14.90900000,4.87600000,10.03300000,448006.39240000,921831.03670000,HIGH_VOLUME_NODE
91879.90000000,28.24900000,14.96400000,13.28500000,1374892.32000000,1220625.80000000,HIGH_VOLUME_NODE
91880.10000000,34.08900000,23.32100000,10.76800000,2142736.02760000,989365.15500000,HIGH_VOLUME_NODE
91880.80000000,17.32700000,3.62400000,13.70300000,332976.38160000,1259043.97270000,HIGH_VOLUME_NODE
91880.90000000,16.32300000,2.54700000,13.77600000,234020.90700000,1265752.65600000,HIGH_VOLUME_NODE
91882.10000000,14.49300000,0.90000000,13.59300000,82693.91460000,1248953.62140000,HIGH_VOLUME_NODE
91882.90000000,15.30800000,1.21300000,14.09500000,111454.07900000,1295090.88500000,HIGH_VOLUME_NODE
91884.10000000,16.35400000,4.53300000,11.82100000,416510.93320000,1086162.72090000,HIGH_VOLUME_NODE
91884.30000000,12.21200000,1.52100000,10.69100000,139756.17240000,982336.12040000,HIGH_VOLUME_NODE
91884.60000000,16.10400000,8.61100000,7.49300000,791218.79620000,688491.58450000,HIGH_VOLUME_NODE
91884.80000000,19.51200000,6.17400000,13.33800000,567297.37260000,1225560.79620000,HIGH_VOLUME_NODE
