price,total_volume,buy_volume,sell_volume,buy_value,sell_value,delta,imbalance_ratio,buy_pressure
90968.40000000,0.01000000,0.00300000,0.00700000,272.90550000,636.77950000,-0.00400000,-0.39999996,0.29999997
90968.60000000,0.07700000,0.01200000,0.06500000,1091.62440000,5912.96440000,-0.05300000,-0.68831168,0.15584415
90968.70000000,0.14600000,0.00000000,0.14600000,0.00000000,13281.44480000,-0.14600000,-0.99999999,0.00000000
90968.80000000,0.02500000,0.02000000,0.00500000,1819.37800000,454.84450000,0.01500000,0.59999998,0.79999997
90968.90000000,0.15400000,0.04900000,0.10500000,4457.48100000,9551.74500000,-0.05600000,-0.36363636,0.31818182
90969.10000000,12.16300000,12.05700000,0.10600000,1096815.64380000,9642.72830000,11.95100000,0.98257009,0.99128504
90969.20000000,0.06000000,0.02100000,0.03900000,1910.35530000,3547.80270000,-0.01800000,-0.30000000,0.34999999
90969.30000000,1.37500000,0.00900000,1.36600000,818.72460000,124264.20040000,-1.35700000,-0.98690909,0.00654545
90969.40000000,1.30500000,0.04700000,1.25800000,4275.56650000,114439.63100000,-1.21100000,-0.92796935,0.03601533
90969.60000000,0.12400000,0.07800000,0.04600000,7095.63580000,4184.60240000,0.03200000,0.25806451,0.62903225
90969.70000000,0.00600000,0.00300000,0.00300000,272.90940000,272.90940000,0.00000000,0.00000000,0.49999992
90969.80000000,0.04600000,0.03600000,0.01000000,3274.91640000,909.69900000,0.02600000,0.56521738,0.78260868
90969.90000000,0.54400000,0.51500000,0.02900000,46849.55000000,2638.13000000,0.48600000,0.89338235,0.94669117
90970.10000000,0.10900000,0.01900000,0.09000000,1728.43360000,8187.31200000,-0.07100000,-0.65137614,0.17431193
90970.20000000,0.46800000,0.36300000,0.10500000,33022.21890000,9551.88150000,0.25800000,0.55128205,0.77564102
90970.30000000,0.04400000,0.01700000,0.02700000,1546.49680000,2456.20080000,-0.01000000,-0.22727272,0.38636363
90970.40000000,0.05800000,0.04500000,0.01300000,4093.67250000,1182.61650000,0.03200000,0.55172413,0.77586206
90970.60000000,0.93500000,0.00800000,0.92700000,727.76560000,84329.83760000,-0.91900000,-0.98288770,0.00855615
90970.70000000,0.23400000,0.00800000,0.22600000,727.76640000,20559.40080000,-0.21800000,-0.93162393,0.03418803
90970.80000000,0.01800000,0.00700000,0.01100000,636.79630000,1000.67990000,-0.00400000,-0.22222221,0.38888887
90970.90000000,0.62700000,0.00200000,0.62500000,181.94200000,56856.87500000,-0.62300000,-0.99362041,0.00318979
90971.10000000,0.50800000,0.37800000,0.13000000,34387.07730000,11826.24400000,0.24800000,0.48818898,0.74409449
90971.20000000,0.83700000,0.11900000,0.71800000,10825.58470000,65317.39340000,-0.59900000,-0.71565113,0.14217443
90971.30000000,0.04700000,0.01000000,0.03700000,909.71400000,3365.94180000,-0.02700000,-0.57446807,0.21276595
90971.40000000,0.00400000,0.00000000,0.00400000,0.00000000,363.88600000,-0.00400000,-0.99999975,0.00000000
90971.60000000,0.05200000,0.01000000,0.04200000,909.71680000,3820.80780000,-0.03200000,-0.61538460,0.19230769
